idx,parent_idx,third_city
1,1,청운효자동
2,1,사직동
3,1,삼청동
4,1,부암동
5,1,평창동
6,1,무악동
7,1,교남동
8,1,가회동
9,1,종로1.2.3.4가동
10,1,종로5.6가동
11,1,이화동
12,1,혜화동
13,1,창신제1동
14,1,창신제2동
15,1,창신제3동
16,1,숭인제1동
17,1,숭인제2동
18,2,소공동
19,2,회현동
20,2,명동
21,2,필동
22,2,장충동
23,2,광희동
24,2,을지로동
25,2,신당동
26,2,다산동
27,2,약수동
28,2,청구동
29,2,신당제5동
30,2,동화동
31,2,황학동
32,2,중림동
33,3,후암동
34,3,용산2가동
35,3,남영동
36,3,청파동
37,3,원효로제1동
38,3,원효로제2동
39,3,효창동
40,3,용문동
41,3,한강로동
42,3,이촌제1동
43,3,이촌제2동
44,3,이태원제1동
45,3,이태원제2동
46,3,한남동
47,3,서빙고동
48,3,보광동
49,4,왕십리제2동
50,4,왕십리도선동
51,4,마장동
52,4,사근동
53,4,행당제1동
54,4,행당제2동
55,4,응봉동
56,4,금호1가동
57,4,금호2.3가동
58,4,금호4가동
59,4,옥수동
60,4,성수1가제1동
61,4,성수1가제2동
62,4,성수2가제1동
63,4,성수2가제3동
64,4,송정동
65,4,용답동
66,5,화양동
67,5,군자동
68,5,중곡제1동
69,5,중곡제2동
70,5,중곡제3동
71,5,중곡제4동
72,5,능동
73,5,광장동
74,5,자양제1동
75,5,자양제2동
76,5,자양제3동
77,5,자양제4동
78,5,구의제1동
79,5,구의제2동
80,5,구의제3동
81,6,용신동
82,6,제기동
83,6,전농제1동
84,6,전농제2동
85,6,답십리제1동
86,6,답십리제2동
87,6,장안제1동
88,6,장안제2동
89,6,청량리동
90,6,회기동
91,6,휘경제1동
92,6,휘경제2동
93,6,이문제1동
94,6,이문제2동
95,7,면목제2동
96,7,면목제4동
97,7,면목제5동
98,7,면목본동
99,7,면목제7동
100,7,면목제3.8동
101,7,상봉제1동
102,7,상봉제2동
103,7,중화제1동
104,7,중화제2동
105,7,묵제1동
106,7,묵제2동
107,7,망우본동
108,7,망우제3동
109,7,신내1동
110,7,신내2동
111,8,성북동
112,8,삼선동
113,8,동선동
114,8,돈암제1동
115,8,돈암제2동
116,8,안암동
117,8,보문동
118,8,정릉제1동
119,8,정릉제2동
120,8,정릉제3동
121,8,정릉제4동
122,8,길음제1동
123,8,길음제2동
124,8,종암동
125,8,월곡제1동
126,8,월곡제2동
127,8,장위제1동
128,8,장위제2동
129,8,장위제3동
130,8,석관동
131,9,삼양동
132,9,미아동
133,9,송중동
134,9,송천동
135,9,삼각산동
136,9,번제1동
137,9,번제2동
138,9,번제3동
139,9,수유제1동
140,9,수유제2동
141,9,수유제3동
142,9,우이동
143,9,인수동
144,10,창제1동
145,10,창제2동
146,10,창제3동
147,10,창제4동
148,10,창제5동
149,10,도봉제1동
150,10,도봉제2동
151,10,쌍문제1동
152,10,쌍문제2동
153,10,쌍문제3동
154,10,쌍문제4동
155,10,방학제1동
156,10,방학제2동
157,10,방학제3동
158,11,월계1동
159,11,월계2동
160,11,월계3동
161,11,공릉1동
162,11,공릉2동
163,11,하계1동
164,11,하계2동
165,11,중계본동
166,11,중계1동
167,11,중계4동
168,11,중계2.3동
169,11,상계1동
170,11,상계2동
171,11,상계3.4동
172,11,상계5동
173,11,상계6.7동
174,11,상계8동
175,11,상계9동
176,11,상계10동
177,12,녹번동
178,12,불광제1동
179,12,불광제2동
180,12,갈현제1동
181,12,갈현제2동
182,12,구산동
