법정동코드	시도명	시군구명	읍면동명	LTV
1111010100	서울특별시	종로구	청운효자동	seoul
1111010600	서울특별시	종로구	사직동	seoul
1111013900	서울특별시	종로구	삼청동	seoul
1111018400	서울특별시	종로구	부암동	seoul
1111018200	서울특별시	종로구	평창동	seoul
1111018700	서울특별시	종로구	무악동	seoul
1111017600	서울특별시	종로구	교남동	seoul
1111014600	서울특별시	종로구	가회동	seoul
1111011900	서울특별시	종로구	종로1.2.3.4가동	seoul
1111016000	서울특별시	종로구	종로5.6가동	seoul
1111016500	서울특별시	종로구	이화동	seoul
1111013000	서울특별시	종로구	혜화동	seoul
1111017400	서울특별시	종로구	창신제1동	seoul
1111017400	서울특별시	종로구	창신제2동	seoul
1111017400	서울특별시	종로구	창신제3동	seoul
1111017500	서울특별시	종로구	숭인제1동	seoul
1111017500	서울특별시	종로구	숭인제2동	seoul
1114017000	서울특별시	중구	소공동	seoul
1114011200	서울특별시	중구	회현동	seoul
1114010100	서울특별시	중구	명동	seoul
1114013200	서울특별시	중구	필동	seoul
1114013600	서울특별시	중구	장충동	seoul
1114013200	서울특별시	중구	광희동	seoul
1114015000	서울특별시	중구	을지로동	seoul
1114016200	서울특별시	중구	신당동	seoul
1114016200	서울특별시	중구	다산동	seoul
1114016200	서울특별시	중구	약수동	seoul
1114016200	서울특별시	중구	청구동	seoul
1114016200	서울특별시	중구	신당제5동	seoul
1114016200	서울특별시	중구	동화동	seoul
1114016500	서울특별시	중구	황학동	seoul
1114017100	서울특별시	중구	중림동	seoul
1117010100	서울특별시	용산구	후암동	seoul
1117010200	서울특별시	용산구	용산2가동	seoul
1117010400	서울특별시	용산구	남영동	seoul
1117010800	서울특별시	용산구	청파동	seoul
1117011200	서울특별시	용산구	원효로제1동	seoul
1117011400	서울특별시	용산구	원효로제2동	seoul
1117011900	서울특별시	용산구	효창동	seoul
1117012000	서울특별시	용산구	용문동	seoul
1117012400	서울특별시	용산구	한강로동	seoul
1117012900	서울특별시	용산구	이촌제1동	seoul
1117012900	서울특별시	용산구	이촌제2동	seoul
1117013000	서울특별시	용산구	이태원제1동	seoul
1117013000	서울특별시	용산구	이태원제2동	seoul
1117013100	서울특별시	용산구	한남동	seoul
1117013200	서울특별시	용산구	서빙고동	seoul
1117013600	서울특별시	용산구	보광동	seoul
1120010200	서울특별시	성동구	왕십리제2동	seoul
1120010100	서울특별시	성동구	왕십리도선동	seoul
1120010500	서울특별시	성동구	마장동	seoul
1120010600	서울특별시	성동구	사근동	seoul
1120010700	서울특별시	성동구	행당제1동	seoul
1120010700	서울특별시	성동구	행당제2동	seoul
1120010800	서울특별시	성동구	응봉동	seoul
1120010900	서울특별시	성동구	금호1가동	seoul
1120011000	서울특별시	성동구	금호2.3가동	seoul
1120011200	서울특별시	성동구	금호4가동	seoul
1120011300	서울특별시	성동구	옥수동	seoul
1120011400	서울특별시	성동구	성수1가제1동	seoul
1120011400	서울특별시	성동구	성수1가제2동	seoul
1120011500	서울특별시	성동구	성수2가제1동	seoul
1120011500	서울특별시	성동구	성수2가제3동	seoul
1120011800	서울특별시	성동구	송정동	seoul
1120011800	서울특별시	성동구	용답동	seoul
1121510700	서울특별시	광진구	화양동	seoul
